ID,Name,Pronoun,Birthday,Weight,ZipCode,SqFt,Pets,Water,Shoes,Commute,NumKids,Exercise,Beverage
100001,Ernest Sayer - software engineer,he,1971-09-09,176.35,06861,2181,fish,81.3,7,40.81,2,High,Cider
100002,Joseph Polston - teacher,they,1998-06-25,194.64,08161,2272,"cat,cat",?,5,23.48,2,High,Tea
100003,Phillip Rivers - scientist,he,1956-05-20,195.02,00221,2029,"fish,dog",21.92,14,44.74,1,None,Cider
100004,Clara Harrill - physician,she,2004-08-22,153.16,00221,2592,"dog,dog",153.92,2,24.76,None,None,Coffee
100005,Mary Wilson - physician,she,1936-05-09,151.59,07770,1069,,?,10,43.95,2,Low,Coffee
100006,Melvin Spencer - software engineer,he,1926-05-02,157.8,00221,1849,"fish,fish",55.46,7,59.64,2,None,Cider
100007,Marilyn Bailey - software engineer,they,1995-03-01,143.07,00221,1511,hamster,43.22,14,56.47,3,None,Cider
100008,Laura Morales - trucker,they,1939-09-01,166.6,00849,2539,"dog,fish,dog,dog,dog",134.17,9,26.91,2,None,Tea
100009,Ina Ware - assistant manager,she,1994-04-25,164.17,04532,1728,,103.38,7,1.14,2,High,Coffee
100010,Mercedes Anderson - physician,she,1991-07-01,146.64,06861,2160,"cat,dog",77.87,11,26.98,3,Low,Tea
100011,,they,1953-02-14,178.53,00221,1996,"cat,cat,bird,bird,cat,dog",124.63,5,21.32,3,Low,Coffee
100012,James Johnson - vice president,he,1947-05-08,157.58,06861,2333,,84.92,8,18.64,2,Medium,Cider
100013,Diane Delallo - general manager,she,1942-08-09,183.8,03977,1805,"bird,dog,cat",92.15,12,42.2,3,Low,Cider
100014,Courtney Hersh - physician,she,1986-06-27,139.89,00221,2075,"dog,dog,dog",152.54,3,6.98,1,Low,Coffee
100015,Harold Garcia - software engineer,he,1927-08-13,185.79,00221,1378,"hamster,bird,bird,dog,lizard,cat",128.48,3,44.89,2,Low,Cocoa
100016,Mary Nagle - vice president,she,1979-06-12,174.31,03977,1965,"bird,lizard",33.31,9,16.99,4,Low,Tea
100017,Leslie Sprague - assistant manager,she,1975-01-11,147.33,03977,1761,cat,98.7,10,37.84,1,None,Cider
100018,Henrietta Grant - assistant manager,she,1996-11-21,195.94,00849,3382,fish,99.49,2,25.8,None,Medium,Tea
100019,Joseph Pope - engineer,he,1953-12-17,178.08,00221,2188,"fish,cat,fish",71.65,5,29.12,2,None,Cocoa
100020,Meghan Phelps - assistant manager,she,1928-11-10,137.87,06393,-1000,"fish,fish",117.31,1,79.17,3,High,Cider
100021,Dennis Demaray - sales associate,he,1988-01-16,152.85,00849,3257,"fish,bird,hamster,dog,cat,cat",85.85,10,3.41,3,Medium,Coffee
100022,Martha Mitchell - physician,they,1985-03-22,374.44,00221,1929,"cat,cat",?,9,43.69,2,Low,Cocoa
100023,Rita Venable - vice president,she,1933-08-04,196.3,00221,1883,,108.58,4,47.15,None,None,Cider
100024,William Mendoza - vice president,he,1940-02-04,205.32,08161,2090,"fish,cat",108.71,6,19.7,3,None,Cocoa
100025,Myriam Bernardy - teacher,she,1999-12-04,157.95,00221,2207,"cat,dog,dog,dog,lizard",73.69,8,61.95,1,None,Tea
100026,,they,1985-03-05,378.4,06393,2016,hamster,112.81,8,9.14,None,None,Tea
100027,Cristina Mcneely - vice president,she,1999-06-07,160.56,00445,2305,"dog,cat,hamster,dog,cat,dog",35.35,7,29.43,None,None,Coffee
100028,Delinda Montoya - vice president,she,1995-06-26,174.89,00445,2127,"bird,dog,cat",98.89,8,22.19,3,Low,Coffee
100029,Lawrence Murray - physician,he,1926-11-15,159.06,00221,2136,,70.56,9,6.98,None,High,Cocoa
100030,Cathy Weitkamp - teacher,she,1967-04-01,137.72,00221,1845,"bird,hamster,dog,fish,dog,dog",120.81,1,3.23,6,High,Coffee
100031,Dakota Pope - trucker,she,1967-02-08,141.01,03977,1701,,54.61,5,8.12,2,None,Cocoa
100032,Wilfred Cuellar - trucker,he,1955-05-27,166.05,00221,1620,"bird,dog,dog,dog,dog",112.22,3,36.25,4,None,Cocoa
100033,Mark Harris - physician,he,1929-03-02,226.52,03977,1618,"cat,dog,dog,cat,cat",91.71,6,13.64,1,Medium,Tea
100034,Delphia Osman - trucker,she,1989-09-10,155.94,03977,1865,,95.65,9,1.02,3,None,Coffee
100035,Rachel Pineda - receptionist,she,1931-11-17,142.41,00221,1518,,111.57,4,0.4,2,None,Coffee
100036,Jane Villarreal - physician,they,2003-03-11,150.41,06393,2144,"cat,bird,dog",137.8,13,16.62,2,Medium,Coffee
100037,Bonnie Crutcher - vice president,they,1995-01-10,170.21,00221,1513,cat,78.76,5,45.96,2,High,Cider
100038,Matthew Howard - assistant manager,they,1994-03-25,155.9,00221,2252,"dog,cat",124.34,8,5.05,2,None,Coffee
100039,Barbara Church - sales associate,they,1959-03-15,191.0,00849,2816,hamster,134.09,0,14.21,3,Medium,Cocoa
100040,Larry Williamson - assistant manager,he,1967-01-26,180.09,03977,1726,"cat,cat,bird,dog",102.45,11,23.39,1,None,Tea
100041,Myrta Nusbaum - engineer,she,2004-09-23,174.15,06393,2138,"dog,dog,dog,bird",57.47,3,5.71,1,High,Coffee
100042,Leland Gonzalez - scientist,he,1996-12-10,198.49,06861,1975,"hamster,fish",119.88,8,35.02,3,High,Cocoa
100043,Winston Torres - software engineer,he,1973-09-10,164.79,03977,1629,"dog,dog,dog",137.56,1,17.55,4,High,Tea
100044,,she,1955-12-01,189.79,08161,2690,"hamster,fish",55.69,10,33.76,3,High,Cocoa
100045,Kari Hill - assistant manager,she,1991-04-03,146.3,06393,2102,"lizard,cat,dog",206.01,6,13.51,2,Medium,Coffee
100046,Maureen Calderone - physician,she,1948-02-23,159.88,00221,2786,,26.83,8,17.04,3,Medium,Cocoa
100047,Henry Green - physician,he,1951-09-20,187.29,08161,1842,,65.18,6,18.58,4,None,Cider
100048,Frank Frederick - vice president,he,1929-01-07,220.67,08161,2468,"cat,cat",97.98,4,50.09,6,High,Cider
100049,Kelly Bissonnette - physician,she,2001-12-25,162.89,00221,2477,dog,93.65,9,15.6,3,None,Tea
100050,Alfredo Younts - sales associate,he,1969-11-18,136.43,00849,2183,"dog,dog,dog,fish,hamster",150.78,4,15.31,2,High,Coffee
100051,Jimmy Grignon - teacher,he,1928-10-01,156.92,00221,1440,"cat,dog",75.4,2,1.24,2,None,Coffee
100052,Lidia Fowler - physician,she,1960-05-19,205.68,00221,2195,dog,84.56,8,21.78,2,None,Cider
100053,William Wolfe - physician,he,2002-07-25,231.64,00221,1784,"dog,fish,bird,bird,hamster",82.66,7,2.23,3,High,Coffee
100054,Liz Brennan - sales associate,she,1960-02-07,139.46,00221,1925,,59.06,8,15.65,4,Low,Cocoa
100055,Cecil Herold - physician,he,1971-10-09,184.14,03977,1910,,39.14,10,8.64,1,Low,Cocoa
100056,Nathan Senne - assistant manager,he,1991-12-26,234.27,08161,1997,,20.07,8,68.93,1,None,Cider
100057,Heather Gant - vice president,they,1988-11-05,177.79,00445,1932,,-44.21,11,6.65,3,Medium,Tea
100058,Michelle Roberts - trucker,she,1971-06-17,168.74,06861,2300,fish,74.22,9,2.64,1,None,Coffee
100059,Ashley Wiemer - assistant manager,she,1951-05-14,136.39,03977,1819,"fish,dog,dog,cat,cat,hamster",91.4,13,1.1,1,Low,Coffee
100060,Patricia Tammaro - physician,she,1974-01-19,156.72,07770,2632,,78.94,5,4.48,4,High,Tea
100061,Steven Edgehill - trucker,he,1934-04-27,195.69,03977,2060,"hamster,dog,fish",61.37,6,1.21,1,Medium,Coffee
100062,Patricia Beckman - physician,she,1945-05-07,164.79,03977,1475,bird,17.61,3,21.49,2,Low,Cider
100063,Susan Tompson - vice president,they,1987-02-18,175.36,08161,1797,hamster,60.06,1,43.87,2,None,Cider
100064,Katherine Carey - general manager,they,1997-12-01,171.91,06861,2028,,56.37,6,45.62,5,None,Cider
100065,William Venson - teacher,he,1999-05-28,215.35,00445,1847,"cat,cat,dog,dog,bird",49.61,4,43.28,1,High,Coffee
100066,Scott Vollmer - sales associate,they,1999-06-06,173.16,00221,1943,cat,82.0,6,19.93,4,Low,Cocoa
100067,Barbara Cisco - physician,she,1926-01-21,168.93,00221,1568,dog,101.3,11,43.68,3,High,Cider
100068,Louise Mills - vice president,she,1962-01-05,142.1,06393,2098,dog,59.02,4,32.99,1,None,Cider
100069,David Wells - vice president,they,1999-10-13,134.88,00445,2067,lizard,82.3,9,49.77,5,High,Cider
100070,Kermit Smith - assistant manager,he,1957-01-28,172.71,08161,2418,,141.69,12,10.36,3,Medium,Cocoa
100071,William Moore - teacher,he,1935-11-28,202.86,00221,2236,lizard,111.84,6,12.07,2,Low,Cocoa
100072,Laura Phillip - physician,she,1961-10-05,374.14,00221,2136,dog,124.15,11,9.58,3,None,Cocoa
100073,Kimberly Todd - software engineer,she,1963-01-03,139.92,00221,2177,"dog,dog",27.05,6,21.75,2,None,Cocoa
100074,Kenneth Ostrander - vice president,he,1988-11-21,133.31,00445,1894,"bird,dog,fish",52.79,10,14.96,3,None,Coffee
100075,Sarah Bailey - receptionist,she,1929-08-27,139.87,00445,1929,dog,64.47,5,27.22,5,High,Cider
100076,Timothy Lamb - scientist,he,1951-05-08,229.03,00221,1805,,122.12,4,9.4,3,Low,Cocoa
100077,Willie Goad - physician,she,1990-12-09,169.38,00221,2176,"bird,cat",93.17,1,28.86,2,None,Tea
100078,Irene Tiry - vice president,she,1949-10-18,164.23,08161,2526,"fish,hamster,dog,dog,lizard,cat",-13.48,0,23.77,1,Medium,Tea
100079,Joseph Grace - physician,he,1935-06-11,168.03,08161,1236,lizard,66.96,1,17.39,2,Low,Cider
100080,Ray Barrientos - software engineer,he,1953-01-19,220.68,03977,1972,"fish,bird",115.28,4,20.73,1,None,Cocoa
100081,Raymond Ibarra - vice president,he,1942-01-17,150.67,00221,2115,,30.34,7,32.04,5,None,Cider
100082,Catherine Sutherland - physician,she,1926-02-17,176.54,08161,2060,"dog,bird,fish,bird,fish,fish",122.82,8,58.43,2,None,Cocoa
100083,Randolph Crockett - assistant manager,he,1968-12-12,217.67,00849,4522,"bird,lizard,fish,hamster,cat,cat",171.8,5,37.88,None,None,Coffee
100084,Catina Eng - physician,she,1948-09-18,153.53,00445,1586,bird,93.52,9,21.84,2,Medium,Cider
100085,Salvador Carradine - physician,they,2002-01-05,194.67,03977,1868,"dog,dog,hamster,cat,dog,bird",158.73,11,67.16,4,None,Tea
100086,Mabel Taylor - software engineer,she,1956-04-15,182.86,03977,1315,fish,119.66,1,36.09,2,Medium,Cider
100087,Jerry Fast - sales associate,they,1940-05-14,146.96,00445,1885,,60.71,7,27.48,None,Low,Cider
100088,Clark Wieczorek - trucker,they,1984-11-03,153.41,07770,396,cat,81.41,3,13.16,None,None,Coffee
100089,Brenda Faulkner - software engineer,she,1950-07-09,375.36,00221,2389,,55.46,9,35.93,3,High,Cider
100090,Grace Grimes - assistant manager,she,1956-06-11,180.98,08161,1801,"hamster,dog",98.54,5,15.63,3,High,Cocoa
100091,Jeanette Baisden - assistant manager,she,1983-09-28,180.6,06861,2014,bird,81.98,9,53.23,1,Low,Cider
100092,Manuel Perez - physician,he,1957-08-04,166.01,00221,1855,"dog,dog,fish,cat,cat",125.56,3,28.35,3,High,Tea
100093,Brian Chasse - vice president,he,1937-07-24,147.64,07770,904,bird,125.76,1,13.1,1,Low,Coffee
100094,Holly Wood - teacher,she,1994-04-05,216.08,00221,2545,,105.59,13,16.53,3,High,Tea
